sale_id,product_id,sale_date,sale_price,units_sold,revenue,returns,campaign_flag
P1001-2025-05-01,P1001,2025-05-01,81.62,8,652.97,1,0
P1001-2025-05-02,P1001,2025-05-02,81.62,8,652.97,1,0
P1001-2025-05-03,P1001,2025-05-03,81.62,9,734.59,1,0
P1001-2025-05-04,P1001,2025-05-04,81.62,9,734.59,1,0
P1001-2025-05-05,P1001,2025-05-05,81.62,9,734.59,1,0
P1001-2025-05-06,P1001,2025-05-06,81.62,8,652.97,1,0
P1001-2025-05-07,P1001,2025-05-07,81.62,8,652.97,1,0
P1001-2025-05-08,P1001,2025-05-08,81.62,9,734.59,1,0
P1001-2025-05-09,P1001,2025-05-09,81.62,9,734.59,1,0
P1001-2025-05-10,P1001,2025-05-10,81.62,8,652.97,1,0
P1001-2025-05-11,P1001,2025-05-11,81.62,9,734.59,1,0
P1001-2025-05-12,P1001,2025-05-12,81.62,8,652.97,1,0
P1001-2025-05-13,P1001,2025-05-13,81.62,8,652.97,1,0
P1001-2025-05-14,P1001,2025-05-14,81.62,9,734.59,1,0
P1001-2025-05-15,P1001,2025-05-15,81.62,8,652.97,1,0
P1001-2025-05-16,P1001,2025-05-16,81.62,9,734.59,1,0
P1001-2025-05-17,P1001,2025-05-17,81.62,8,652.97,1,0
P1001-2025-05-18,P1001,2025-05-18,81.62,8,652.97,1,0
P1001-2025-05-19,P1001,2025-05-19,81.62,8,652.97,1,0
P1001-2025-05-20,P1001,2025-05-20,81.62,7,571.35,1,0
P1001-2025-05-21,P1001,2025-05-21,81.62,8,652.97,1,0
P1001-2025-05-22,P1001,2025-05-22,81.62,9,734.59,1,0
P1001-2025-05-23,P1001,2025-05-23,81.62,9,734.59,1,0
P1001-2025-05-24,P1001,2025-05-24,81.62,9,734.59,1,0
P1001-2025-05-25,P1001,2025-05-25,81.62,7,571.35,1,0
P1001-2025-05-26,P1001,2025-05-26,81.62,8,652.97,1,0
P1001-2025-05-27,P1001,2025-05-27,81.62,8,652.97,1,0
P1001-2025-05-28,P1001,2025-05-28,81.62,9,734.59,1,0
P1001-2025-05-29,P1001,2025-05-29,81.62,9,734.59,1,0
P1001-2025-05-30,P1001,2025-05-30,81.62,9,734.59,1,0
P1001-2025-05-31,P1001,2025-05-31,81.62,9,734.59,1,0
P1001-2025-06-01,P1001,2025-06-01,79.67,7,557.7,1,0
P1001-2025-06-02,P1001,2025-06-02,79.67,7,557.7,1,0
P1001-2025-06-03,P1001,2025-06-03,79.67,7,557.7,1,0
P1001-2025-06-04,P1001,2025-06-04,79.67,8,637.37,1,0
P1001-2025-06-05,P1001,2025-06-05,79.67,7,557.7,1,0
P1001-2025-06-06,P1001,2025-06-06,79.67,9,717.04,1,0
P1001-2025-06-07,P1001,2025-06-07,79.67,6,478.02,1,0
P1001-2025-06-08,P1001,2025-06-08,79.67,8,637.37,1,0
P1001-2025-06-09,P1001,2025-06-09,79.67,7,557.7,1,0
P1001-2025-06-10,P1001,2025-06-10,79.67,6,478.02,1,0
P1001-2025-06-11,P1001,2025-06-11,79.67,7,557.7,1,0
P1001-2025-06-12,P1001,2025-06-12,79.67,7,557.7,1,0
P1001-2025-06-13,P1001,2025-06-13,79.67,8,637.37,1,0
P1001-2025-06-14,P1001,2025-06-14,79.67,7,557.7,1,0
P1001-2025-06-15,P1001,2025-06-15,79.67,7,557.7,1,0
P1001-2025-06-16,P1001,2025-06-16,79.67,7,557.7,1,0
P1001-2025-06-17,P1001,2025-06-17,79.67,8,637.37,1,0
P1001-2025-06-18,P1001,2025-06-18,79.67,6,478.02,1,0
P1001-2025-06-19,P1001,2025-06-19,79.67,7,557.7,1,0
P1001-2025-06-20,P1001,2025-06-20,79.67,8,637.37,1,0
P1001-2025-06-21,P1001,2025-06-21,79.67,6,478.02,1,0
P1001-2025-06-22,P1001,2025-06-22,79.67,7,557.7,1,0
P1001-2025-06-23,P1001,2025-06-23,79.67,8,637.37,1,0
P1001-2025-06-24,P1001,2025-06-24,79.67,8,637.37,1,0
P1001-2025-06-25,P1001,2025-06-25,79.67,7,557.7,1,0
P1001-2025-06-26,P1001,2025-06-26,79.67,7,557.7,1,0
P1001-2025-06-27,P1001,2025-06-27,79.67,7,557.7,1,0
P1001-2025-06-28,P1001,2025-06-28,79.67,7,557.7,1,0
P1001-2025-06-29,P1001,2025-06-29,79.67,9,717.04,1,0
P1001-2025-06-30,P1001,2025-06-30,79.67,7,557.7,1,0
P1001-2025-07-01,P1001,2025-07-01,80.73,6,484.38,1,0
P1001-2025-07-02,P1001,2025-07-02,80.73,6,484.38,1,0
P1001-2025-07-03,P1001,2025-07-03,80.73,6,484.38,1,0
P1001-2025-07-04,P1001,2025-07-04,80.73,7,565.11,1,0
P1001-2025-07-05,P1001,2025-07-05,80.73,8,645.84,1,0
P1001-2025-07-06,P1001,2025-07-06,80.73,7,565.11,1,0
P1001-2025-07-07,P1001,2025-07-07,80.73,7,565.11,1,0
P1001-2025-07-08,P1001,2025-07-08,80.73,7,565.11,1,0
P1001-2025-07-09,P1001,2025-07-09,80.73,7,565.11,1,0
P1001-2025-07-10,P1001,2025-07-10,80.73,7,565.11,1,0
P1001-2025-07-11,P1001,2025-07-11,80.73,6,484.38,1,0
P1001-2025-07-12,P1001,2025-07-12,80.73,7,565.11,1,0
P1001-2025-07-13,P1001,2025-07-13,80.73,6,484.38,1,0
P1001-2025-07-14,P1001,2025-07-14,80.73,7,565.11,1,0
P1001-2025-07-15,P1001,2025-07-15,80.73,7,565.11,1,0
P1001-2025-07-16,P1001,2025-07-16,80.73,6,484.38,1,0
P1001-2025-07-17,P1001,2025-07-17,80.73,7,565.11,1,0
P1001-2025-07-18,P1001,2025-07-18,80.73,7,565.11,1,0
P1001-2025-07-19,P1001,2025-07-19,80.73,7,565.11,1,0
P1001-2025-07-20,P1001,2025-07-20,80.73,6,484.38,1,0
P1001-2025-07-21,P1001,2025-07-21,80.73,7,565.11,1,0
P1001-2025-07-22,P1001,2025-07-22,80.73,6,484.38,1,0
P1001-2025-07-23,P1001,2025-07-23,80.73,6,484.38,1,0
P1001-2025-07-24,P1001,2025-07-24,80.73,7,565.11,1,0
P1001-2025-07-25,P1001,2025-07-25,80.73,7,565.11,1,0
P1001-2025-07-26,P1001,2025-07-26,80.73,7,565.11,1,0
P1001-2025-07-27,P1001,2025-07-27,80.73,6,484.38,1,0
P1001-2025-07-28,P1001,2025-07-28,80.73,7,565.11,1,0
P1001-2025-07-29,P1001,2025-07-29,80.73,7,565.11,1,0
P1001-2025-07-30,P1001,2025-07-30,80.73,7,565.11,1,0
P1001-2025-07-31,P1001,2025-07-31,80.73,7,565.11,1,0
P1001-2025-08-01,P1001,2025-08-01,78.76,8,630.04,1,0
P1001-2025-08-02,P1001,2025-08-02,78.76,8,630.04,1,0
P1001-2025-08-03,P1001,2025-08-03,78.76,8,630.04,1,0
P1001-2025-08-04,P1001,2025-08-04,78.76,8,630.04,1,0
P1001-2025-08-05,P1001,2025-08-05,78.76,9,708.8,1,0
P1001-2025-08-06,P1001,2025-08-06,78.76,7,551.29,1,0
P1001-2025-08-07,P1001,2025-08-07,78.76,7,551.29,1,0
P1001-2025-08-08,P1001,2025-08-08,78.76,8,630.04,1,0
P1001-2025-08-09,P1001,2025-08-09,78.76,7,551.29,1,0
P1001-2025-08-10,P1001,2025-08-10,78.76,8,630.04,1,0
P1001-2025-08-11,P1001,2025-08-11,78.76,8,630.04,1,0
P1001-2025-08-12,P1001,2025-08-12,78.76,7,551.29,1,0
P1001-2025-08-13,P1001,2025-08-13,78.76,7,551.29,1,0
P1001-2025-08-14,P1001,2025-08-14,78.76,7,551.29,1,0
P1001-2025-08-15,P1001,2025-08-15,78.76,7,551.29,1,0
P1001-2025-08-16,P1001,2025-08-16,78.76,7,551.29,1,0
P1001-2025-08-17,P1001,2025-08-17,78.76,7,551.29,1,0
P1001-2025-08-18,P1001,2025-08-18,71.68,10,716.82,1,1
P1001-2025-08-19,P1001,2025-08-19,72.94,11,802.33,2,1
P1001-2025-08-20,P1001,2025-08-20,73.72,10,737.21,1,1
P1001-2025-08-21,P1001,2025-08-21,71.83,10,718.31,1,1
P1001-2025-08-22,P1001,2025-08-22,71.47,12,857.59,2,1
P1001-2025-08-23,P1001,2025-08-23,69.59,11,765.51,1,1
P1001-2025-08-24,P1001,2025-08-24,72.98,10,729.76,1,1
P1001-2025-08-25,P1001,2025-08-25,71.32,9,641.89,1,1
P1001-2025-08-26,P1001,2025-08-26,70.34,13,914.38,1,1
P1001-2025-08-27,P1001,2025-08-27,73.58,10,735.81,1,1
P1001-2025-08-28,P1001,2025-08-28,72.4,10,723.97,1,1
P1001-2025-08-29,P1001,2025-08-29,71.27,11,783.93,1,1
P1001-2025-08-30,P1001,2025-08-30,69.35,14,970.94,2,1
P1001-2025-08-31,P1001,2025-08-31,69.33,11,762.68,1,1
P1001-2025-09-01,P1001,2025-09-01,80.32,8,642.6,1,0
P1001-2025-09-02,P1001,2025-09-02,80.32,7,562.27,1,0
P1001-2025-09-03,P1001,2025-09-03,80.32,8,642.6,1,0
P1001-2025-09-04,P1001,2025-09-04,80.32,9,722.92,1,0
P1001-2025-09-05,P1001,2025-09-05,80.32,8,642.6,1,0
P1001-2025-09-06,P1001,2025-09-06,80.32,9,722.92,1,0
P1001-2025-09-07,P1001,2025-09-07,80.32,9,722.92,1,0
P1001-2025-09-08,P1001,2025-09-08,80.32,9,722.92,1,0
P1001-2025-09-09,P1001,2025-09-09,80.32,7,562.27,1,0
P1001-2025-09-10,P1001,2025-09-10,80.32,9,722.92,1,0
P1001-2025-09-11,P1001,2025-09-11,80.32,9,722.92,1,0
P1001-2025-09-12,P1001,2025-09-12,80.32,9,722.92,1,0
P1001-2025-09-13,P1001,2025-09-13,80.32,7,562.27,1,0
P1001-2025-09-14,P1001,2025-09-14,80.32,9,722.92,1,0
P1001-2025-09-15,P1001,2025-09-15,80.32,8,642.6,1,0
P1001-2025-09-16,P1001,2025-09-16,80.32,6,481.95,1,0
P1001-2025-09-17,P1001,2025-09-17,80.32,9,722.92,1,0
P1001-2025-09-18,P1001,2025-09-18,80.32,8,642.6,1,0
P1001-2025-09-19,P1001,2025-09-19,80.32,8,642.6,1,0
P1001-2025-09-20,P1001,2025-09-20,80.32,8,642.6,1,0
P1001-2025-09-21,P1001,2025-09-21,80.32,8,642.6,1,0
P1001-2025-09-22,P1001,2025-09-22,80.32,7,562.27,1,0
P1001-2025-09-23,P1001,2025-09-23,80.32,8,642.6,1,0
P1001-2025-09-24,P1001,2025-09-24,80.32,8,642.6,1,0
P1001-2025-09-25,P1001,2025-09-25,80.32,8,642.6,1,0
P1001-2025-09-26,P1001,2025-09-26,80.32,10,803.24,1,0
P1001-2025-09-27,P1001,2025-09-27,80.32,8,642.6,1,0
P1001-2025-09-28,P1001,2025-09-28,80.32,9,722.92,1,0
P1001-2025-09-29,P1001,2025-09-29,80.32,7,562.27,1,0
P1001-2025-09-30,P1001,2025-09-30,80.32,8,642.6,1,0
P1001-2025-10-01,P1001,2025-10-01,81.08,9,729.71,1,0
P1001-2025-10-02,P1001,2025-10-02,81.08,8,648.63,1,0
P1001-2025-10-03,P1001,2025-10-03,81.08,10,810.79,1,0
P1001-2025-10-04,P1001,2025-10-04,81.08,9,729.71,1,0
P1001-2025-10-05,P1001,2025-10-05,81.08,9,729.71,1,0
P1001-2025-10-06,P1001,2025-10-06,81.08,9,729.71,1,0
P1001-2025-10-07,P1001,2025-10-07,81.08,9,729.71,1,0
P1001-2025-10-08,P1001,2025-10-08,81.08,8,648.63,1,0
P1001-2025-10-09,P1001,2025-10-09,81.08,8,648.63,1,0
P1001-2025-10-10,P1001,2025-10-10,81.08,10,810.79,1,0
P1001-2025-10-11,P1001,2025-10-11,81.08,9,729.71,1,0
P1001-2025-10-12,P1001,2025-10-12,81.08,9,729.71,1,0
P1001-2025-10-13,P1001,2025-10-13,81.08,9,729.71,1,0
P1001-2025-10-14,P1001,2025-10-14,81.08,8,648.63,1,0
P1001-2025-10-15,P1001,2025-10-15,81.08,9,729.71,1,0
P1001-2025-10-16,P1001,2025-10-16,81.08,9,729.71,1,0
P1001-2025-10-17,P1001,2025-10-17,81.08,10,810.79,1,0
P1001-2025-10-18,P1001,2025-10-18,81.08,10,810.79,1,0
P1001-2025-10-19,P1001,2025-10-19,81.08,9,729.71,1,0
P1001-2025-10-20,P1001,2025-10-20,81.08,7,567.55,1,0
P1001-2025-10-21,P1001,2025-10-21,81.08,10,810.79,1,0
P1001-2025-10-22,P1001,2025-10-22,81.08,10,810.79,1,0
P1001-2025-10-23,P1001,2025-10-23,81.08,8,648.63,1,0
P1001-2025-10-24,P1001,2025-10-24,81.08,9,729.71,1,0
P1001-2025-10-25,P1001,2025-10-25,81.08,10,810.79,1,0
P1001-2025-10-26,P1001,2025-10-26,81.08,10,810.79,1,0
P1001-2025-10-27,P1001,2025-10-27,81.08,8,648.63,1,0
P1001-2025-10-28,P1001,2025-10-28,81.08,9,729.71,1,0
P1001-2025-10-29,P1001,2025-10-29,81.08,9,729.71,1,0
P1001-2025-10-30,P1001,2025-10-30,81.08,9,729.71,1,0
P1001-2025-10-31,P1001,2025-10-31,81.08,9,729.71,1,0
P1001-2025-11-01,P1001,2025-11-01,79.12,11,870.29,2,0
P1001-2025-11-02,P1001,2025-11-02,79.12,12,949.41,1,0
P1001-2025-11-03,P1001,2025-11-03,79.12,10,791.17,1,0
P1001-2025-11-04,P1001,2025-11-04,79.12,12,949.41,1,0
P1001-2025-11-05,P1001,2025-11-05,79.12,10,791.17,1,0
P1001-2025-11-06,P1001,2025-11-06,79.12,11,870.29,2,0
P1001-2025-11-07,P1001,2025-11-07,79.12,11,870.29,1,0
P1001-2025-11-08,P1001,2025-11-08,79.12,12,949.41,2,0
P1001-2025-11-09,P1001,2025-11-09,79.12,12,949.41,1,0
P1001-2025-11-10,P1001,2025-11-10,79.12,12,949.41,2,0
P1001-2025-11-11,P1001,2025-11-11,79.12,10,791.17,1,0
P1001-2025-11-12,P1001,2025-11-12,79.12,11,870.29,1,0
P1001-2025-11-13,P1001,2025-11-13,79.12,10,791.17,1,0
P1001-2025-11-14,P1001,2025-11-14,79.12,13,1028.52,1,0
P1001-2025-11-15,P1001,2025-11-15,79.12,13,1028.52,1,0
P1001-2025-11-16,P1001,2025-11-16,79.12,10,791.17,1,0
P1001-2025-11-17,P1001,2025-11-17,79.12,10,791.17,1,0
P1001-2025-11-18,P1001,2025-11-18,79.12,12,949.41,1,0
P1001-2025-11-19,P1001,2025-11-19,79.12,13,1028.52,1,0
P1001-2025-11-20,P1001,2025-11-20,79.12,12,949.41,2,0
P1001-2025-11-21,P1001,2025-11-21,79.12,11,870.29,1,0
P1001-2025-11-22,P1001,2025-11-22,79.12,10,791.17,1,0
P1001-2025-11-23,P1001,2025-11-23,79.12,12,949.41,1,0
P1001-2025-11-24,P1001,2025-11-24,73.3,16,1172.79,2,1
P1001-2025-11-25,P1001,2025-11-25,71.94,16,1151.05,2,1
P1001-2025-11-26,P1001,2025-11-26,71.46,16,1143.38,2,1
P1001-2025-11-27,P1001,2025-11-27,74.18,16,1186.88,2,1
P1001-2025-11-28,P1001,2025-11-28,72.54,19,1378.28,2,1
P1001-2025-11-29,P1001,2025-11-29,71.28,16,1140.42,2,1
P1001-2025-11-30,P1001,2025-11-30,72.24,17,1228.07,3,1
P1001-2025-12-01,P1001,2025-12-01,70.23,21,1474.76,3,1
P1001-2025-12-02,P1001,2025-12-02,69.87,19,1327.57,2,1
P1001-2025-12-03,P1001,2025-12-03,77.46,13,1006.93,2,0
P1001-2025-12-04,P1001,2025-12-04,77.46,12,929.47,1,0
P1001-2025-12-05,P1001,2025-12-05,77.46,14,1084.38,2,0
P1001-2025-12-06,P1001,2025-12-06,77.46,11,852.02,1,0
P1001-2025-12-07,P1001,2025-12-07,77.46,12,929.47,1,0
P1001-2025-12-08,P1001,2025-12-08,77.46,13,1006.93,1,0
